,uuid,KEY,City,Site,Sex_HH,ObsHandWashPLACE,ObsHandWashSOAP,ObsHandWashWATER,ToiletFacility,ToiletFacilityTYPE,ToiletFacilityTYPE_Dry,ToiletFacilityTYPE_Flush,ToiletFacilitySHARE,ToiletROOF,ToiletFacilityCLEAN,ToiletFacilitySAFE,StreetFood,dist2wc,HH_Recor_2_lag,HH_Recor_2_std,b_area,NN_100,n_blg_cc,n_blg_ccM,n_CAR,n_CARM,n_mn_Bdev,n_mn_BdevM,WCdirtyS
836,4add689d7a314c899ba5137cc65e8265,uuid:2b417e13-8254-47e5-84e5-0fadb67da902,Nairobi,Mabatini,F,,,,Own_YardPlot,Flush,,Flush_piped,Y,,Clean,Any_time,0_1,0.0,1629.4640789214275,1.0,398.9065167187524,222,0.309753236403638,0.468087817663903,0.811853277279859,0.647840516760477,1.129133229769366,2.550579786180245,0.0
837,de1472b6c9754103927d0d478c541e68,uuid:a42fedf4-a201-49ff-8d63-c3fe63a6f85d,Nairobi,Mabatini,M,Obs_Fixed,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_piped,Y,,Clean,Any_time,0_1,0.0,1605.7461534782874,0.2164221610623317,35.97037960792101,184,0.565591783524202,0.476907956577287,1.004281147397924,0.62230632511832,1.571511829426711,4.545380719003859,0.0
838,4add689d7a314c899ba5137cc65e8265,uuid:518e5b98-c364-4144-a3c2-d17e2c727335,Nairobi,Mabatini,F,,,,Public,Flush,,Flush_NA,Y,,Clean,During_Day,0_1,34.18459458206037,1609.3021828670355,0.33390401377808065,297.3770666838371,221,0.223497000983062,0.486502168326855,0.685813383529097,0.624284117809661,0.379529475234023,3.650308575218679,0.0
839,4add689d7a314c899ba5137cc65e8265,uuid:9ad7c4b7-a04b-44ef-816b-53f4e9e32974,Nairobi,Mabatini,M,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,DryOrCompost,Dry_FreshLife,,Y,,V_Clean,Any_time,0_1,0.0,1621.0236599816517,0.7211507706096211,169.3888658461452,169,0.113193632093435,0.404402077039065,0.837396085321979,0.677470580515216,0.27657147381607,2.102509058681654,0.0
840,4add689d7a314c899ba5137cc65e8265,uuid:3c21eecc-cd69-4f38-8cf5-97c230f8c1e2,Nairobi,Mabatini,M,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_river,Y,,Clean,Any_time,0_1,0.0,1609.6957032085297,0.3469048902461876,159.98475699212972,325,0.422058891743802,0.495208030269505,0.536473440952557,0.695674217180104,2.919163785454423,2.445087257558989,0.0
841,4add689d7a314c899ba5137cc65e8265,uuid:f846bed5-016e-44a0-b6df-147f041245d4,Nairobi,Mabatini,M,Obs_Mobile,SoapOrDeterg,Water_OK,Public,Flush,,Flush_river,Y,,Clean,During_Day,5_Or_More,29.137544197591083,1603.415391276677,0.13941991171325285,133.2672268863281,224,0.453155114536382,0.49234176351408,0.491290566641162,0.60304792060777,3.538264687871894,4.472935688794677,0.0
842,4add689d7a314c899ba5137cc65e8265,uuid:58e6c403-8b95-4ccb-8ba0-9f5c41be0f97,Nairobi,Mabatini,F,Obs_Mobile,SoapOrDeterg,Water_OK,Public,Flush,,Flush_piped,Y,,Clean,During_Day,0_1,51.80554838727845,1623.072536523025,0.7888402595739173,47.300792287858286,229,0.564418423587441,0.466215484910606,0.726098622246603,0.632636599995673,0.429205712490052,2.63438120080573,0.0
843,4add689d7a314c899ba5137cc65e8265,uuid:02cb9786-7cb3-4278-946b-f6b9fab5cf10,Nairobi,Mabatini,M,,,,Own_YardPlot,Flush,,Flush_piped,Y,,Clean,Any_time,5_Or_More,0.0,1625.1121808404655,0.8562247401556169,34.82744252454523,220,0.611093487462922,0.46879485450657,0.56214607488289,0.624760925445973,0.156986125813351,2.517092721020969,0.0
844,4add689d7a314c899ba5137cc65e8265,uuid:9cfc44a0-51b1-4144-9cbe-cc9d86ee459e,Nairobi,Mabatini,M,,,,Public,Flush,,Flush_piped,Y,,Clean,During_Day,5_Or_More,27.14663093900256,1612.9972191601591,0.45597828879438396,106.1189182453106,269,0.578693511944067,0.506286018776121,0.364144467899809,0.647060083635655,7.741968297582993,2.838076185535583,0.0
845,4add689d7a314c899ba5137cc65e8265,uuid:bc56c7e1-0df5-43a8-bed4-34a1e82b7919,Nairobi,Mabatini,F,Obs_Mobile,SoapOrDeterg,Water_OK,Neighb_Dwelling,Flush,,Flush_river,Y,,Clean,During_Day,0_1,12.249432501720692,1611.8113373781662,0.41679987556438675,53.73254291975312,328,0.417608454246765,0.458283897918254,0.74706899729884,0.704636411939404,13.460296557255347,2.624740931108395,0.0
